sport,league,game_id,a_team,h_team,2,last_mod_score,last_mod_score,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_odds_ml,h_odds_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASK,NBA,3875349,San Antonio Spurs , Sacramento Kings,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-83453.125,1549252146875,58,-125,105,1.8,2.05,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,NBA,3875353,Houston Rockets , Phoenix Suns,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-79915.678,1549252084322,60,-380,290,1.263158,3.9,-105,-115,1.952381,1.87,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,NBA,3875352,Indiana Pacers , New Orleans Pelicans,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-77668.668,1549250731332,38,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-110,-110,1.909091,1.909091,218,218,1549328400000
BASK,NBA,3875332,Milwaukee Bucks , Brooklyn Nets,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-75144.947,1549251455053,62,-290,240,1.344828,3.4,-105,-115,1.952381,1.87,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,NBA,3875327,Denver Nuggets , Detroit Pistons,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-72603.65,1549252196350,59,-190,165,1.526316,2.65,-105,-115,1.952381,1.87,-4.5,4.5,-110,-110,1.909091,1.909091,209,209,1549324800000
BASK,NBA,3875328,Atlanta Hawks , Washington Wizards,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-72833.678,1549251966322,60,200,-240,3,1.416667,-110,-110,1.909091,1.909091,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,NBA,3875349,San Antonio Spurs , Sacramento Kings,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-83453.125,1549252146875,58,-125,105,1.8,2.05,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,NBA,3875353,Houston Rockets , Phoenix Suns,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-79915.678,1549252084322,60,-380,290,1.263158,3.9,-105,-115,1.952381,1.87,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,NBA,3875352,Indiana Pacers , New Orleans Pelicans,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-77668.668,1549250731332,38,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-110,-110,1.909091,1.909091,218,218,1549328400000
BASK,NBA,3875332,Milwaukee Bucks , Brooklyn Nets,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-75144.947,1549251455053,62,-290,240,1.344828,3.4,-105,-115,1.952381,1.87,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,NBA,3875327,Denver Nuggets , Detroit Pistons,2,2019-01-25T15:59:02-0500,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-72603.65,1549252196350,59,-190,165,1.526316,2.65,-105,-115,1.952381,1.87,-4.5,4.5,-110,-110,1.909091,1.909091,209,209,1549324800000
